Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Group,Total_Engagement,Hashtag_List,Hashtag_Count,Word_Count,Character_Count,Continent
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,2019-11-03 13:45:00,DreamChaser,Twitter,#Determination #DreamsIntoReality,18.0,35.0,USA,2019,11,3,13,Confidence & Achievement,53.0,"['#determination', '#dreamsintoreality']",2,11,89,North America
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,2020-04-12 19:30:00,OceanSoul,Instagram,#Serenity #OceanRetreat,25.0,50.0,Canada,2020,4,12,19,Calm & Peace,75.0,"['#serenity', '#oceanretreat']",2,15,99,North America
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,2022-04-15 08:45:00,HorizonExplorer,Facebook,#Curiosity #NewHorizons,22.0,45.0,India,2022,4,15,8,Curiosity & Reflection,67.0,"['#curiosity', '#newhorizons']",2,16,101,Asia
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,2023-02-10 17:00:00,NonchalantSpirit,Twitter,#Indifference #DriftingThroughLife,9.0,18.0,UK,2023,2,10,17,Curiosity & Reflection,27.0,"['#indifference', '#driftingthroughlife']",2,13,87,Europe
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,2020-08-05 12:15:00,ComplexThinker,Instagram,#Confusion #PerplexedMind,14.0,28.0,Australia,2020,8,5,12,Curiosity & Reflection,42.0,"['#confusion', '#perplexedmind']",2,13,87,Oceania
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,2021-12-01 15:30:00,ShieldedHeart,Facebook,#Numbness #EmotionalShield,10.0,20.0,USA,2021,12,1,15,Curiosity & Reflection,30.0,"['#numbness', '#emotionalshield']",2,15,89,North America
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,2019-03-25 21:00:00,SymphonySoul,Twitter,#Melancholy #WistfulHeart,13.0,26.0,Canada,2019,3,25,21,Sadness & Loss,39.0,"['#melancholy', '#wistfulheart']",2,13,84,North America
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,2017-06-18 14:45:00,YearbookExplorer,Instagram,#Nostalgia #YearbookMemories,12.0,25.0,India,2017,6,18,14,Curiosity & Reflection,37.0,"['#nostalgia', '#yearbookmemories']",2,16,94,Asia
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,2022-07-08 11:30:00,DecisiveDilemma,Facebook,#Ambivalence #ShadesOfUncertainty,15.0,30.0,Australia,2022,7,8,11,Curiosity & Reflection,45.0,"['#ambivalence', '#shadesofuncertainty']",2,14,99,Oceania
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,2023-05-15 16:20:00,ImperfectHarmony,Twitter,#Acceptance #ImperfectJourney,18.0,36.0,Canada,2023,5,15,16,Hope & Optimism,54.0,"['#acceptance', '#imperfectjourney']",2,11,81,North America
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,2021-09-10 14:45:00,VisionarySpirit,Instagram,#Determination #UnparalleledHeights,20.0,40.0,UK,2021,9,10,14,Confidence & Achievement,60.0,"['#determination', '#unparalleledheights']",2,13,92,Europe
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,2020-02-28 18:30:00,ForestDreamer,Facebook,#Serenity #NatureWhispers,25.0,50.0,USA,2020,2,28,18,Calm & Peace,75.0,"['#serenity', '#naturewhispers']",2,18,96,North America
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,2023-03-10 16:30:00,SilentSpectator,Instagram,#Indifference #SilentObserver,9.0,18.0,India,2023,3,10,16,Curiosity & Reflection,27.0,"['#indifference', '#silentobserver']",2,16,90,Asia
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,2021-05-02 11:45:00,MazeNavigator,Facebook,#Confusion #ThoughtLabyrinth,14.0,28.0,Australia,2021,5,2,11,Curiosity & Reflection,42.0,"['#confusion', '#thoughtlabyrinth']",2,15,98,Oceania
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,2019-10-18 14:30:00,ResilientFortress,Twitter,#Numbness #StoicResilience,11.0,22.0,UK,2019,10,18,14,Curiosity & Reflection,33.0,"['#numbness', '#stoicresilience']",2,14,94,Europe
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,2020-01-05 20:00:00,CanvasDreamer,Instagram,#Melancholy #BittersweetMemories,13.0,26.0,USA,2020,1,5,20,Sadness & Loss,39.0,"['#melancholy', '#bittersweetmemories']",2,13,85,North America
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,2018-08-10 15:45:00,DiaryExplorer,Facebook,#Nostalgia #DiaryJourney,12.0,25.0,Canada,2018,8,10,15,Curiosity & Reflection,37.0,"['#nostalgia', '#diaryjourney']",2,17,95,North America
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,2022-01-15 10:30:00,CrossroadsTraveler,Twitter,#Ambivalence #ConflictingEmotions,15.0,30.0,India,2022,1,15,10,Curiosity & Reflection,45.0,"['#ambivalence', '#conflictingemotions']",2,10,81,Asia
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,2021-07-20 16:20:00,MosaicDreamer,Instagram,#Acceptance #BeautifulChaos,18.0,36.0,Australia,2021,7,20,16,Hope & Optimism,54.0,"['#acceptance', '#beautifulchaos']",2,11,84,Oceania
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,2019-12-03 13:45:00,PathfinderSpirit,Facebook,#Determination #ExtraordinaryPath,20.0,40.0,USA,2019,12,3,13,Confidence & Achievement,60.0,"['#determination', '#extraordinarypath']",2,14,100,North America
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",Serenity,2020-04-12 19:30:00,RaindropHarmony,Twitter,#Serenity #RaindropMelody,25.0,50.0,Canada,2020,4,12,19,Calm & Peace,75.0,"['#serenity', '#raindropmelody']",2,16,95,North America
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",Curiosity,2022-05-08 08:45:00,SeekerOfUnknowns,Instagram,#Curiosity #SeekerOfKnowledge,22.0,45.0,UK,2022,5,8,8,Curiosity & Reflection,67.0,"['#curiosity', '#seekerofknowledge']",2,14,97,Europe
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",Indifference,2023-02-22 17:00:00,NonchalantWanderer,Facebook,#Indifference #DriftingThroughLife,9.0,18.0,India,2023,2,22,17,Curiosity & Reflection,27.0,"['#indifference', '#driftingthroughlife']",2,15,93,Asia
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",Confusion,2020-06-05 12:15:00,ShadowedSeeker,Twitter,#Confusion #LabyrinthOfThoughts,14.0,28.0,Australia,2020,6,5,12,Curiosity & Reflection,42.0,"['#confusion', '#labyrinthofthoughts']",2,14,86,Oceania
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,2021-11-30 15:30:00,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10.0,20.0,Canada,2021,11,30,15,Curiosity & Reflection,30.0,"['#numbness', '#emotionalstorms']",2,15,93,North America
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",Melancholy,2019-02-25 21:00:00,WistfulPainter,Facebook,#Melancholy #WistfulYearning,13.0,26.0,UK,2019,2,25,21,Sadness & Loss,39.0,"['#melancholy', '#wistfulyearning']",2,15,97,Europe
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",Nostalgia,2017-05-18 14:45:00,TaleWeaver,Twitter,#Nostalgia #PhotoAlbumStories,12.0,25.0,USA,2017,5,18,14,Curiosity & Reflection,37.0,"['#nostalgia', '#photoalbumstories']",2,16,95,North America
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",Ambivalence,2022-08-05 11:30:00,CrossroadsExplorer,Instagram,#Ambivalence #CrossroadsConfusion,15.0,30.0,Canada,2022,8,5,11,Curiosity & Reflection,45.0,"['#ambivalence', '#crossroadsconfusion']",2,13,92,North America
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",Acceptance,2023-06-15 16:20:00,MosaicArtist,Facebook,#Acceptance #UnpredictableArt,18.0,36.0,Australia,2023,6,15,16,Hope & Optimism,54.0,"['#acceptance', '#unpredictableart']",2,14,100,Oceania
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",Determination,2021-10-10 14:45:00,DreamSculptor,Twitter,#Determination #SculptingDreams,20.0,40.0,UK,2021,10,10,14,Confidence & Achievement,60.0,"['#determination', '#sculptingdreams']",2,12,98,Europe
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",Serenity,2020-05-12 19:30:00,MoonlitSoul,Instagram,#Serenity #MoonlitPeace,25.0,50.0,USA,2020,5,12,19,Calm & Peace,75.0,"['#serenity', '#moonlitpeace']",2,19,103,North America
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,2022-12-01 09:15:00,FearlessExplorer,Facebook,#Curiosity #FearlessExplorer,22.0,44.0,India,2022,12,1,9,Curiosity & Reflection,66.0,"['#curiosity', '#fearlessexplorer']",2,16,104,Asia
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",Zest,2018-07-12 17:45:00,JoyfulDancer,Twitter,#Zest #CarefreeSpirit,15.0,30.0,USA,2018,7,12,17,Happiness & Joy,45.0,"['#zest', '#carefreespirit']",2,17,100,North America
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",Contentment,2020-09-05 20:10:00,SereneBasker,Facebook,#Contentment #GoldenGlow,18.0,36.0,Australia,2020,9,5,20,Calm & Peace,54.0,"['#contentment', '#goldenglow']",2,17,101,Oceania
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",Hopeful,2022-04-18 08:00:00,DreamPainter,Instagram,#Hopeful #CanvasOfDreams,12.0,24.0,India,2022,4,18,8,Hope & Optimism,36.0,"['#hopeful', '#canvasofdreams']",2,18,109,Asia
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",Proud,2019-12-10 12:20:00,OakAchiever,Twitter,#Proud #BranchesOfAchievement,25.0,50.0,Canada,2019,12,10,12,Confidence & Achievement,75.0,"['#proud', '#branchesofachievement']",2,16,103,North America
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",Grateful,2023-02-28 09:45:00,HeartGardener,Facebook,#Grateful #BlossomingConnection,20.0,40.0,USA,2023,2,28,9,Hope & Optimism,60.0,"['#grateful', '#blossomingconnection']",2,17,110,North America
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",Empathetic,2018-04-03 14:15:00,ThreadWeaver,Instagram,#Empathetic #TapestryOfUnderstanding,15.0,30.0,UK,2018,4,3,14,Love & Affection,45.0,"['#empathetic', '#tapestryofunderstanding']",2,17,115,Europe
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",Compassionate,2022-06-20 10:30:00,CloudCaretaker,Twitter,#Compassionate #ShowerOfEmpathy,18.0,36.0,Australia,2022,6,20,10,Love & Affection,54.0,"['#compassionate', '#showerofempathy']",2,14,99,Oceania
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",Playful,2020-07-08 18:00:00,RainDancer,Facebook,#Playful #DanceInTheRain,22.0,44.0,Canada,2020,7,8,18,Happiness & Joy,66.0,"['#playful', '#danceintherain']",2,18,114,North America
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",Free-spirited,2021-08-15 11:10:00,SkyPainter,Instagram,#FreeSpirit #PaintingTheSky,20.0,40.0,India,2021,8,15,11,Creativity & Inspiration,60.0,"['#freespirit', '#paintingthesky']",2,19,114,Asia
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",Inspired,2019-10-25 16:50:00,PhoenixExplorer,Twitter,#Inspired #CreativePhoenix,15.0,30.0,UK,2019,10,25,16,Creativity & Inspiration,45.0,"['#inspired', '#creativephoenix']",2,20,119,Europe
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",Hopeful,2023-10-05 07:30:00,SunriseNavigator,Facebook,#Hopeful #SunriseOfPossibilities,12.0,24.0,USA,2023,10,5,7,Hope & Optimism,36.0,"['#hopeful', '#sunriseofpossibilities']",2,18,121,North America
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",Confident,2022-02-15 13:15:00,SandStrider,Instagram,#Confident #FootprintsOfAssuredness,25.0,50.0,Australia,2022,2,15,13,Confidence & Achievement,75.0,"['#confident', '#footprintsofassuredness']",2,16,126,Oceania
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",Serenity,2021-05-08 22:00:00,NightSerenader,Twitter,#Serenity #MoonlitSerenade,13.0,26.0,Canada,2021,5,8,22,Calm & Peace,39.0,"['#serenity', '#moonlitserenade']",2,18,107,North America
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",Curiosity,2020-11-29 14:45:00,KnowledgeSeeker,Instagram,#Curiosity #LabyrinthOfQuestions,17.0,34.0,USA,2020,11,29,14,Curiosity & Reflection,51.0,"['#curiosity', '#labyrinthofquestions']",2,17,117,North America
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",Ambivalence,2019-09-14 10:20:00,BreezeWaltzer,Facebook,#Ambivalence #AutumnWaltz,14.0,28.0,UK,2019,9,14,10,Curiosity & Reflection,42.0,"['#ambivalence', '#autumnwaltz']",2,18,112,Europe
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",Grateful,2022-03-12 19:55:00,StarNavigator,Twitter,#Grateful #GuidingStar,19.0,38.0,Australia,2022,3,12,19,Hope & Optimism,57.0,"['#grateful', '#guidingstar']",2,18,119,Oceania
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",Zest,2023-03-30 16:30:00,MeadowSprinter,Instagram,#Zest #FieldsOfEnthusiasm,16.0,32.0,India,2023,3,30,16,Happiness & Joy,48.0,"['#zest', '#fieldsofenthusiasm']",2,18,114,Asia
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,RainNurturer,Facebook,#Compassionate #TearsOfEmpathy,21.0,42.0,Canada,2021,7,1,12,Love & Affection,63.0,"['#compassionate', '#tearsofempathy']",2,19,122,North America
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,2020-01-05 08:45:00,PeakConqueror,Twitter,#Proud #ScalingPeaks,23.0,46.0,USA,2020,1,5,8,Confidence & Achievement,69.0,"['#proud', '#scalingpeaks']",2,16,111,North America
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14.0,28.0,UK,2022,7,17,6,Hope & Optimism,42.0,"['#hopeful', '#seedsofoptimism']",2,19,112,Europe
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,2018-08-22 17:20:00,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24.0,48.0,Australia,2018,8,22,17,Happiness & Joy,72.0,"['#playful', '#carnivalescapade']",2,19,120,Oceania
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,2021-12-08 14:30:00,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18.0,36.0,India,2021,12,8,14,Creativity & Inspiration,54.0,"['#inspired', '#cloudsofcreativity']",2,19,123,Asia
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,2019-04-27 09:50:00,RiverNavigator,Instagram,#Contentment #TranquilWaters,20.0,40.0,Canada,2019,4,27,9,Calm & Peace,60.0,"['#contentment', '#tranquilwaters']",2,18,116,North America
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,2023-09-03 21:40:00,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16.0,32.0,USA,2023,9,3,21,Love & Affection,48.0,"['#empathetic', '#lanternofcompassion']",2,19,119,North America
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,2020-06-10 10:05:00,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22.0,44.0,UK,2020,6,10,10,Creativity & Inspiration,66.0,"['#freespirit', '#wingsofdreams']",2,20,121,Europe
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,2022-04-01 18:30:00,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19.0,38.0,Australia,2022,4,1,18,Hope & Optimism,57.0,"['#grateful', '#goldenhues']",2,21,121,Oceania
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,2021-01-15 13:00:00,DanceStrider,Facebook,#Confident #DanceOfLife,23.0,46.0,Canada,2021,1,15,13,Confidence & Achievement,69.0,"['#confident', '#danceoflife']",2,17,120,North America
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,2023-05-06 07:20:00,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15.0,30.0,India,2023,5,6,7,Hope & Optimism,45.0,"['#hopeful', '#brightertomorrows']",2,20,123,Asia
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,2019-11-18 15:15:00,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25.0,50.0,USA,2019,11,18,15,Happiness & Joy,75.0,"['#playful', '#jugglingresponsibilities']",2,18,122,North America
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,2020-08-29 20:45:00,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14.0,28.0,UK,2020,8,29,20,Creativity & Inspiration,42.0,"['#inspired', '#talestothestars']",2,16,116,Europe
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,2022-10-30 11:40:00,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17.0,34.0,Australia,2022,10,30,11,Hope & Optimism,51.0,"['#hopeful', '#sailorofdreams']",2,19,123,Oceania
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21.0,42.0,Canada,2021,7,1,12,Love & Affection,63.0,"['#compassionate', '#tearsofempathy']",2,19,122,North America
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14.0,28.0,India,2022,7,17,6,Hope & Optimism,42.0,"['#hopeful', '#seedsofoptimism']",2,19,112,Asia
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",Despair,2021-09-15 16:00:00,ShatteredHeart,Instagram,#Despair #EchoingSilence,8.0,16.0,Canada,2021,9,15,16,Sadness & Loss,24.0,"['#despair', '#echoingsilence']",2,18,112,North America
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",Bitterness,2019-03-08 14:20:00,VenomousSoul,Facebook,#Bitterness #ResentmentWeb,12.0,24.0,UK,2019,3,8,14,Anger & Resentment,36.0,"['#bitterness', '#resentmentweb']",2,19,116,Europe
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",Loneliness,2017-07-20 11:45:00,DesertWanderer,Twitter,#Loneliness #MiragesOfConnection,15.0,30.0,USA,2017,7,20,11,Sadness & Loss,45.0,"['#loneliness', '#miragesofconnection']",2,18,125,North America
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",Yearning,2020-11-02 19:30:00,ColdEmbrace,Instagram,#Yearning #DistantWarmth,10.0,20.0,Australia,2020,11,2,19,Love & Affection,30.0,"['#yearning', '#distantwarmth']",2,21,117,Oceania
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",Fearful,2022-05-12 02:00:00,NightPrisoner,Facebook,#Fearful #ImaginedHorrors,18.0,36.0,India,2022,5,12,2,Fear & Anxiety,54.0,"['#fearful', '#imaginedhorrors']",2,19,107,Asia
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",Apprehensive,2023-04-08 13:15:00,TightropeWalker,Twitter,#Apprehensive #BalancingAct,14.0,28.0,UK,2023,4,8,13,Fear & Anxiety,42.0,"['#apprehensive', '#balancingact']",2,19,130,Europe
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",Overwhelmed,2021-06-25 17:50:00,AtlasBearer,Instagram,#Overwhelmed #BouldersOfExhaustion,22.0,44.0,Canada,2021,6,25,17,Fear & Anxiety,66.0,"['#overwhelmed', '#bouldersofexhaustion']",2,20,133,North America
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",Jealous,2019-08-30 10:10:00,GreenMonster,Facebook,#Jealous #GreenEyedMonster,16.0,32.0,USA,2019,8,30,10,Anger & Resentment,48.0,"['#jealous', '#greeneyedmonster']",2,18,114,North America
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",Devastated,2022-08-03 15:30:00,StormSurvivor,Twitter,#Devastated #WindsOfBrokenPromises,25.0,50.0,Australia,2022,8,3,15,Sadness & Loss,75.0,"['#devastated', '#windsofbrokenpromises']",2,22,127,Oceania
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",Frustrated,2020-12-17 09:20:00,PuzzleComposer,Instagram,#Frustrated #UnsolvablePuzzle,12.0,24.0,India,2020,12,17,9,Anger & Resentment,36.0,"['#frustrated', '#unsolvablepuzzle']",2,17,121,Asia
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",Envious,2021-02-28 22:45:00,GildedHeartache,Facebook,#Envious #GildedPrize,20.0,40.0,USA,2021,2,28,22,Anger & Resentment,60.0,"['#envious', '#gildedprize']",2,22,130,North America
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",Dismissive,2018-05-10 14:00:00,IndifferentFort,Twitter,#Dismissive #ImpenetrableWalls,14.0,28.0,UK,2018,5,10,14,Anger & Resentment,42.0,"['#dismissive', '#impenetrablewalls']",2,16,121,Europe
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,2022-01-07 11:10:00,DreamMosaic,Instagram,#Frustrated #MosaicOfDisappointment,15.0,30.0,Canada,2022,1,7,11,Anger & Resentment,45.0,"['#frustrated', '#mosaicofdisappointment']",2,20,122,North America
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,2019-09-19 03:30:00,NocturnalEcho,Facebook,#Loneliness #SolitaryNocturne,18.0,36.0,Australia,2019,9,19,3,Sadness & Loss,54.0,"['#loneliness', '#solitarynocturne']",2,19,115,Oceania
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",Fearful,2023-07-14 23:00:00,DarkWhispers,Twitter,#Fearful #SpecterOfTheUnknown,13.0,26.0,UK,2023,7,14,23,Fear & Anxiety,39.0,"['#fearful', '#specteroftheunknown']",2,22,126,Europe
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",Bitterness,2020-04-05 16:20:00,LingeringTaste,Instagram,#Bitterness #BitterAftertaste,10.0,20.0,India,2020,4,5,16,Anger & Resentment,30.0,"['#bitterness', '#bitteraftertaste']",2,23,133,Asia
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",Overwhelmed,2021-11-29 08:45:00,TempestSurvivor,Facebook,#Overwhelmed #DrowningSoul,20.0,40.0,USA,2021,11,29,8,Fear & Anxiety,60.0,"['#overwhelmed', '#drowningsoul']",2,18,116,North America
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",Jealous,2019-12-12 17:00:00,VenomousHeart,Twitter,#Jealous #HeartOfDiscontent,16.0,32.0,Australia,2019,12,12,17,Anger & Resentment,48.0,"['#jealous', '#heartofdiscontent']",2,20,121,Oceania
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",Devastated,2022-05-20 14:50:00,FragileTrust,Instagram,#Devastated #ShatteredTrust,25.0,50.0,Canada,2022,5,20,14,Sadness & Loss,75.0,"['#devastated', '#shatteredtrust']",2,19,117,North America
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",Frustrated,2020-09-03 12:15:00,BrokenThreads,Facebook,#Frustrated #SlippingThreads,14.0,28.0,UK,2020,9,3,12,Anger & Resentment,42.0,"['#frustrated', '#slippingthreads']",2,19,127,Europe
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",Envious,2021-02-10 19:30:00,SuccessPill,Twitter,#Envious #BitterPill,20.0,40.0,USA,2021,2,10,19,Anger & Resentment,60.0,"['#envious', '#bitterpill']",2,22,137,North America
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",Dismissive,2018-08-18 14:40:00,CurtainShield,Instagram,#Dismissive #IndifferencePerformance,12.0,24.0,Australia,2018,8,18,14,Anger & Resentment,36.0,"['#dismissive', '#indifferenceperformance']",2,21,140,Oceania
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",Despair,2022-02-28 21:00:00,FoggyLabyrinth,Facebook,#Despair #LabyrinthOfHopelessness,8.0,16.0,Canada,2022,2,28,21,Sadness & Loss,24.0,"['#despair', '#labyrinthofhopelessness']",2,20,126,North America
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",Bitterness,2019-10-15 10:30:00,IcyResentment,Twitter,#Bitterness #IciclesOfResentment,15.0,30.0,UK,2019,10,15,10,Anger & Resentment,45.0,"['#bitterness', '#iciclesofresentment']",2,21,137,Europe
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",Loneliness,2017-12-01 18:50:00,SolitaryMoon,Instagram,#Loneliness #StarlessSky,18.0,36.0,USA,2017,12,1,18,Sadness & Loss,54.0,"['#loneliness', '#starlesssky']",2,23,134,North America
"Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon.",Yearning,2020-04-18 16:15:00,VanishedSunset,Facebook,#Yearning #HuesOfSunset,10.0,20.0,Australia,2020,4,18,16,Love & Affection,30.0,"['#yearning', '#huesofsunset']",2,22,117,Oceania
"Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners.",Fearful,2023-01-07 03:30:00,NightPrisoner,Twitter,#Fearful #LurkingMonsters,18.0,36.0,India,2023,1,7,3,Fear & Anxiety,54.0,"['#fearful', '#lurkingmonsters']",2,21,132,Asia
