Hashtag,Total_Engagement
#highschoolart,54.0
#hackysackchallenge,74.0
#highschoolathlete,74.0
#friendshipgoals,60.0
#highschoolmemories,60.0
#burgerquest,66.0
#highschoolfoodie,66.0
#standupcomedy,60.0
#highschooltalent,60.0
#loveletterfail,50.0
#highschoolawkward,50.0
#sciencegeek,67.0
#highschoolexperiments,67.0
#friendshipbracelets,56.0
#highschoolcrafts,56.0
#cartwheelchallenge,79.0
#highschoolathlete,79.0
#movienight,65.0
#highschoolmemories,65.0
#hairexperiment,59.0
#highschoolstyle,59.0
#timecapsule,74.0
#highschoolnostalgia,74.0
#firstdayoops,48.0
#highschoolembarrassment,48.0
#healthyliving,65.0
#highschoolwellness,65.0
#schoolchallenges,43.0
#highschoolstruggles,43.0
#onlinehate,54.0
#highschoolreality,54.0
#badday,60.0
#highschoolblues,60.0
#disappointment,51.0
#highschoolsports,51.0
#cafeteriadrama,62.0
#highschooltension,62.0
#academicfrustration,57.0
#highschoolstress,57.0
#lifechallenges,66.0
#highschoolstruggles,66.0
#lonelynights,47.0
#highschoolemotions,47.0
#stopcyberbullying,41.0
#highschoolreality,41.0
#badluck,53.0
#highschoolweather,53.0
#missedchances,59.0
#highschoolregret,59.0
#rumormills,69.0
#highschooldrama,69.0
#badluckday,75.0
#highschoolstruggles,75.0
#sayinggoodbye,63.0
#highschoolemotions,63.0
#collegedreams,56.0
#highschooljourney,56.0
#onlinegaming,48.0
#highschoolgamer,48.0
#badhairday,54.0
#highschoolconfidence,54.0
#projectstruggles,62.0
#highschoolhardships,62.0
#onlineopinions,72.0
#highschoolcriticism,72.0
#techissues,65.0
#highschooltech,65.0
#missedmoments,59.0
#highschoolregret,59.0
#studystrategies,65.0
#highschoolexams,65.0
#environmentalefforts,76.0
#highschoolcommunity,76.0
#bookclub,57.0
#highschoolreads,57.0
#bakingadventures,64.0
#highschoolbakes,64.0
#teamwork,54.0
#highschoolprojects,54.0
#schoolclubs,67.0
#highschoolinterests,67.0
#careerdevelopment,72.0
#highschooljobs,72.0
#schoolevents,60.0
#highschoolconnectivity,60.0
#photographyjourney,74.0
#highschoolhobbies,74.0
#sciencefair,56.0
#highschoolscience,56.0
#efficiencygoals,67.0
#highschoolskills,67.0
#communityservice,59.0
#highschoolvolunteer,59.0
#teamspirit,53.0
#highschoolprojects,53.0
#debateskills,65.0
#highschoolintellect,65.0
#surpriseparty,79.0
#highschoolcelebration,79.0
#codingtriumph,72.0
#highschooltech,72.0
#talentshow,57.0
#highschoolentertainment,57.0
#natureadventures,63.0
#highschoolfriends,63.0
#sportstriumph,76.0
#highschoolathletics,76.0
#globalfriendship,68.0
#highschoolcorrespondence,68.0
#artcollaboration,65.0
#highschoolcreativity,65.0
#artisticexpression,67.0
#highschoolcreativity,67.0
#athleticachievement,77.0
#highschoolsports,77.0
#sciencefairwinner,59.0
#highschoolscience,59.0
#surprisecelebration,73.0
#highschoolfriendship,73.0
#communitygiving,64.0
#highschoolphilanthropy,64.0
#culturalcelebration,64.0
#highschoolunity,64.0
#virtualentertainment,71.0
#highschoolpositivity,71.0
